<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000013" len=11020483>, 'BH_position: ', array([0.0297005 , 1.11903917, 0.26820695]), 'Position magnitude: ', SimArray([1.151115], 'kpc'), 'radius_influence: ', 0.0030227550792713866, 'BH Mass: ', SimArray([163028.85270936], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 21.387967917651153
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000014" len=11019062>, 'BH_position: ', array([0.4304487 , 0.9912076 , 0.38723673]), 'Position magnitude: ', SimArray([1.14792459], 'kpc'), 'radius_influence: ', 0.0024320430125461673, 'BH Mass: ', SimArray([163036.35420878], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 20.098477664043163
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000015" len=11017394>, 'BH_position: ', array([0.7893768 , 0.79941129, 0.3203392 ]), 'Position magnitude: ', SimArray([1.16824285], 'kpc'), 'radius_influence: ', 0.0018847397304063585, 'BH Mass: ', SimArray([163039.431747], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 18.977035360532696
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000016" len=11015868>, 'BH_position: ', array([1.0884423 , 0.59277815, 0.17170253]), 'Position magnitude: ', SimArray([1.25122913], 'kpc'), 'radius_influence: ', 0.001964516695884964, 'BH Mass: ', SimArray([163049.81843851], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 18.51271911987738
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000017" len=11014649>, 'BH_position: ', array([1.17873927, 0.22258188, 0.13423072]), 'Position magnitude: ', SimArray([1.2070571], 'kpc'), 'radius_influence: ', 0.0034827594422065745, 'BH Mass: ', SimArray([163058.85870704], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 18.831205443265816
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000018" len=11013173>, 'BH_position: ', array([ 1.19053332, -0.12677979,  0.15052946]), 'Position magnitude: ', SimArray([1.20669044], 'kpc'), 'radius_influence: ', 0.009589163641039414, 'BH Mass: ', SimArray([163067.72265828], 'Msol'), 'Stars around BH ', 2, 'Stars velocity around BH: ', 19.808547272037316
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000019" len=11009905>, 'BH_position: ', array([ 1.04033512, -0.32503733,  0.03482463]), 'Position magnitude: ', SimArray([1.09048576], 'kpc'), 'radius_influence: ', 0.010072198702371565, 'BH Mass: ', SimArray([163079.0390228], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 21.621249942746505
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000020" len=11005629>, 'BH_position: ', array([ 0.65853155, -0.63391449, -0.01119067]), 'Position magnitude: ', SimArray([0.91413162], 'kpc'), 'radius_influence: ', 0.007101507568873664, 'BH Mass: ', SimArray([163091.57357952], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 22.77955973186398
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000021" len=11005126>, 'BH_position: ', array([ 0.27761166, -0.95976488, -0.09672368]), 'Position magnitude: ', SimArray([1.00377902], 'kpc'), 'radius_influence: ', 0.003600609556547132, 'BH Mass: ', SimArray([163095.0999254], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 22.968913596407255
<SimSnap "/media/jillian//cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000022" len=11004133>, 'BH_position: ', array([-0.10459928, -1.05435184, -0.01228638]), 'Position magnitude: ', SimArray([1.05959887], 'kpc'), 'radius_influence: ', 0.0019481854266447734, 'BH Mass: ', SimArray([163098.54612706], 'Msol'), 'Stars around BH ', 1, 'Stars velocity around BH: ', 22.27250046414063
