<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000001" len=11039348>, SimArray([1.02290141], 'kpc'), SimArray(18.18360204, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000002" len=11037004>, SimArray([1.18279307], 'kpc'), SimArray(18.0826146, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000003" len=11036515>, SimArray([1.22025934], 'kpc'), SimArray(17.87899297, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000004" len=11035482>, SimArray([1.24874681], 'kpc'), SimArray(17.59969445, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000005" len=11034964>, SimArray([1.26367783], 'kpc'), SimArray(17.27422834, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000006" len=11033916>, SimArray([1.31717369], 'kpc'), SimArray(16.95485801, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000007" len=11032313>, SimArray([1.31903301], 'kpc'), SimArray(16.71446036, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000008" len=11030927>, SimArray([1.28992397], 'kpc'), SimArray(16.60656176, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000009" len=11029290>, SimArray([1.17138705], 'kpc'), SimArray(16.62883237, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000010" len=11027106>, SimArray([1.1038574], 'kpc'), SimArray(16.75968774, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000011" len=11024949>, SimArray([1.14327285], 'kpc'), SimArray(16.94183243, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000012" len=11022235>, SimArray([1.1639389], 'kpc'), SimArray(17.12200361, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000013" len=11020483>, SimArray([1.151115], 'kpc'), SimArray(17.26920847, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000014" len=11019062>, SimArray([1.14792459], 'kpc'), SimArray(17.40856498, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000015" len=11017394>, SimArray([1.16824285], 'kpc'), SimArray(17.57309414, 'km s**-1')
<SimSnap "/media/jillian/cptmarvel/cptmarvel.cosmo25cmb.4096g5HbwK1BH.004096/supersample/highres/cptmarvel.test.000016" len=11015868>, SimArray([1.25122913], 'kpc'), SimArray(17.79736816, 'km s**-1')
